uid,City Quadrant,Ward,Household Income,Household Tenancy,Highest Obtained Education,Average Age,Living with Children,Member of Visible Minority,Gender,Average Quality of Life Rating (1-10),"Change in Quality of Life in Last 3 Years ( 1 = improved, 2 = no change, 3 = worsen)",Average Living in Calgary Rating (1-10),Average Life in Cangary Rating (1-10),Average Neighbourhood Safety Rating (1-4)
jKF35rzP,Northwest,Ward 4,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,40,Yes,No,Male,8,3,6,6,3
yIS92hcX,Northeast,Ward 3,"$120,000 and over (Net)",Own,Some post secondary or college diploma,43,Yes,No,Male,7,3,9,9,3
sVX80bmP,Northeast,Ward 3,Don't Know,Own,Some post secondary or college diploma,85,No,No,Female,6,3,5,5,3
cJY63ouM,Northwest,Ward 3,"$30,000 to just under $45,000",Own,Completed high school or less,74,No,No,Male,8,3,5,8,4
tFF49czA,Northwest,Ward 3,"$120,000 and over (Net)",Own,Completed high school or less,51,No,No,Female,10,1,8,8,3
wXW32fdT,Northwest,Ward 4,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,51,Yes,No,Female,10,2,8,8,4
wLM82opV,Northwest,Ward 4,"$105,000 to just under $120,000",Own,Completed high school or less,21,No,No,Male,8,1,8,8,3
uKT70pmO,Northwest,Ward 3,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,66,No,No,Female,7,2,7,8,3
iGS81nxT,Northeast,Ward 3,Don't Know,Rent,Completed high school or less,52,Yes,No,Female,9,2,10,9,2
eZL78daP,Northwest,Ward 3,"$60,000 to just under $75,000",Own,Completed high school or less,58,No,No,Male,6,2,,5,3
qUT97wyB,Northwest,Ward 3,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,48,Yes,Yes,Female,8,3,10,10,4
cNW52poW,Northwest,Ward 3,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,37,No,No,Female,8,2,5,7,4
mNG25ptC,Northwest,Ward 1,"Less than $30,000",Own,Some post secondary or college diploma,65,No,No,Female,10,1,10,10,3
jGW87okN,Northwest,Ward 4,"Less than $30,000",Own,Some post secondary or college diploma,70,No,No,Female,9,2,9,9,3
tKQ22wkL,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Completed high school or less,51,Yes,No,Male,7,3,7,7,3
vHV70xjQ,Northeast,Ward 5,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,18,Yes,No,Female,9,2,5,7,2
dWK10rjR,Southwest,Ward 5,"$60,000 to just under $75,000",Own,Completed university degree or post-grad degree,78,No,Yes,Female,5,2,1,1,1
vZU78xjG,Northeast,Ward 5,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,51,No,No,Male,8,2,9,9,4
tCZ75rtD,Northeast,Ward 5,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,51,Yes,Yes,Female,4,3,7,5,2
wJJ18isZ,Northwest,Ward 2,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,52,Yes,No,Female,8,3,10,8,3
mNI37snE,Northeast,Ward 5,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,47,Yes,Yes,Female,7,2,9,9,3
mTA69myK,Northeast,Ward 5,"$60,000 to just under $75,000",Own,Completed high school or less,73,No,Yes,Female,8,1,9,9,2
wCO83mwT,Northeast,Ward 5,"Less than $30,000",Own,Some post secondary or college diploma,66,No,Yes,Female,5,1,3,4,3
wNU50qmE,Northeast,Ward 5,"$90,000 to just under $105,000",Own,Completed high school or less,60,No,Yes,Male,8,2,8,7,4
uRX86maZ,Northeast,Ward 5,"Less than $30,000",Own,Some post secondary or college diploma,69,No,Yes,Male,6,3,10,10,4
pZI60igZ,Northeast,Ward 5,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,66,No,Yes,Male,6,1,8,8,4
oJS15ogZ,Northeast,Ward 5,"$75,000 to just under $90,000",Other,Some post secondary or college diploma,21,No,Yes,Female,8,2,10,10,3
fPY19ebX,Northeast,Ward 5,"$120,000 and over (Net)",Own,Some post secondary or college diploma,53,No,No,Male,7,3,4,4,2
wTH55tnV,Northeast,Ward 5,Don't Know,Own,Completed high school or less,,No,Yes,Female,6,3,8,6,2
fZX19kqG,Northwest,Ward 12,"Less than $30,000",Own,Some post secondary or college diploma,63,No,No,Male,7,3,6,7,3
cCT91dyR,Northeast,Ward 5,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,60,No,No,Male,9,2,9,9,3
yJH20ixN,Northeast,Ward 5,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,69,Yes,No,Male,7,3,6,6,2
aWZ92foC,Northeast,Ward 10,"$75,000 to just under $90,000",Own,Completed high school or less,58,No,Don't Know,Male,6,2,8,8,3
zGF18ntA,Northeast,Ward 10,"$120,000 and over (Net)",Own,Completed high school or less,56,No,No,Male,7,3,8,8,4
eCZ15guL,Northeast,Ward 5,"$120,000 and over (Net)",Own,Completed high school or less,48,No,No,Female,8,3,7,7,1
tAP17syZ,Northeast,Ward 5,"$30,000 to just under $45,000",Rent,Some post secondary or college diploma,43,Yes,Yes,Female,6,3,9,9,3
aIX22nxF,Northeast,Ward 5,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,60,No,No,Male,6,3,2,3,2
fTI34ubW,Northeast,Ward 5,"Less than $30,000",Rent,Completed university degree or post-grad degree,44,Yes,Yes,Male,3,3,3,3,2
bAT60weP,Southeast,Ward 5,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,55,No,Yes,Male,10,1,10,10,3
tHK64xsT,Northeast,Ward 5,Don't Know,Own,Completed high school or less,18,No,No,Male,8,1,6,7,3
xRF13bnX,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,67,No,Yes,Female,8,1,10,10,2
sPQ31rzT,Northeast,Ward 5,"$105,000 to just under $120,000",Own,Completed high school or less,54,No,No,Female,5,3,1,5,1
bBY86ulD,Northeast,Ward 5,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,61,No,No,Male,8,2,9,9,2
oKS89jgG,Northeast,Ward 5,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,28,Yes,Yes,Male,9,2,9,9,3
sIF57ptA,Northeast,Ward 5,"$30,000 to just under $45,000",Own,Completed university degree or post-grad degree,38,Yes,Don't Know,Female,7,1,10,10,2
gIT87erZ,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Completed high school or less,49,Yes,Yes,Female,8,3,8,10,4
lNH36rnL,Northeast,Ward 5,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,66,No,No,Male,7,1,4,7,4
tPE24qgS,Northeast,Ward 5,"$120,000 and over (Net)",Own,Some post secondary or college diploma,58,No,No,Male,8,2,9,8,4
fGH58bdI,Northeast,Ward 5,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,62,No,No,Female,7,3,6,6,2
fOB37wvR,Northwest,Ward 4,"$90,000 to just under $105,000",Rent,Completed high school or less,21,Yes,Yes,Female,8,2,8,8,3
dZK69diS,Northeast,Ward 5,"$75,000 to just under $90,000",Own,Completed high school or less,45,No,Yes,Female,1,3,4,4,1
xMV39ttL,Northeast,Ward 5,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,57,No,No,Female,7,2,5,7,3
tCJ68lyH,Northeast,Ward 10,"Less than $30,000",Own,Some post secondary or college diploma,62,No,No,Female,5,2,4,4,3
vDX79enL,Northeast,Ward 5,"Less than $30,000",Rent,Completed high school or less,18,Yes,No,Male,4,3,6,6,3
aLP67feL,Northeast,Ward 5,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,43,Yes,Yes,Male,8,1,9,9,3
xNI15zgQ,Northeast,Ward 5,"$60,000 to just under $75,000",Own,Completed high school or less,35,Yes,Yes,Female,6,2,10,10,2
uII99cxM,Northeast,Ward 5,"$30,000 to just under $45,000",Own,Completed university degree or post-grad degree,65,No,No,Male,6,1,6,6,3
nDX67lfY,Northeast,Ward 5,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,78,No,Yes,Male,8,1,7,8,3
sMR65yzV,Southeast,Ward 5,Don't Know,Don't Know,Completed high school or less,26,No,Don't Know,Female,4,3,7,5,2
fIX26keB,Southeast,Ward 12,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,35,No,Yes,Female,10,3,5,10,4
xKH29wdD,Northeast,Ward 5,"Less than $30,000",Own,Completed high school or less,18,Yes,Yes,Female,9,1,1,6,3
rQC53dfN,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,57,No,No,Male,7,2,10,10,4
oLM30brF,Northeast,Ward 5,"$60,000 to just under $75,000",Own,Completed high school or less,61,No,Yes,Female,1,3,1,1,1
cZA93dzD,Northeast,Ward 5,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,63,No,No,Male,10,2,6,8,3
sOY92fxF,Northeast,Ward 5,"$105,000 to just under $120,000",Own,Some post secondary or college diploma,46,No,No,Male,9,3,7,8,2
vFC52ztY,Northeast,Ward 5,"$120,000 and over (Net)",Own,Some post secondary or college diploma,43,Yes,Yes,Male,7,3,9,9,3
gBV43guK,Northeast,Ward 5,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,47,Yes,No,Female,8,1,9,9,3
rYH32hcU,Northeast,Ward 5,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,42,Yes,Yes,Male,7,1,8,8,3
cOO66miR,Southeast,Ward 12,Don't Know,Own,Completed university degree or post-grad degree,61,No,No,Male,8,1,5,7,4
bCY45xvT,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,59,No,No,Male,6,3,7,7,3
rGL98nyP,Northeast,Ward 5,"$75,000 to just under $90,000",Neither,Some post secondary or college diploma,22,No,Yes,Male,7,3,6,7,4
lWD55czE,Northwest,Ward 7,"Less than $30,000",Rent,Some post secondary or college diploma,78,No,No,Female,8,3,6,5,4
vFX86ubT,Northwest,Ward 7,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,51,No,No,Male,8,2,5,7,4
xFJ55lwG,Southwest,Ward 11,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,68,No,No,Female,10,1,8,10,4
aDJ50ncE,Northwest,Ward 7,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,71,No,No,Female,8,1,8,8,4
oUE72jeG,Northwest,Ward 4,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,39,Yes,No,Female,8,3,8,10,3
iLW36exK,Northwest,Ward 7,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,71,No,No,Female,10,2,10,10,3
mAK46rhP,Northwest,Ward 7,"$105,000 to just under $120,000",Rent,Completed high school or less,29,No,Yes,Female,7,2,6,6,3
hTR81glA,Northwest,Ward 7,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,49,Yes,No,Female,7,2,7,7,3
yFG34dmH,Northwest,Ward 7,"$120,000 and over (Net)",Own,Some post secondary or college diploma,73,No,No,Female,7,3,7,9,2
bUW91byK,Northwest,Ward 7,"Less than $30,000",Own,Completed high school or less,70,No,Yes,Male,7,3,8,8,
nEL47qiE,Northwest,Ward 7,"$45,000 to just under $60,000",Own,Completed high school or less,84,No,No,Male,6,2,5,7,3
iLU38kbB,Northwest,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,47,Yes,No,Male,8,1,7,7,4
fLA48doJ,Northwest,Ward 7,"$30,000 to just under $45,000",Rent,Some post secondary or college diploma,63,No,No,Male,6,3,5,5,4
sKY18vqL,Southwest,Ward 11,Don't Know,Rent,Completed high school or less,31,No,Yes,Female,7,2,10,10,3
rDR12stM,Northwest,Ward 7,"$75,000 to just under $90,000",Rent,Completed high school or less,64,No,Yes,Male,7,1,8,8,4
eCJ84cjL,Northwest,Ward 7,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,83,No,No,Female,8,4,8,8,3
nZX28jxU,Northwest,Ward 7,"$120,000 and over (Net)",Rent,Completed high school or less,18,Yes,No,Male,9,1,10,10,3
aGY26vtR,Northwest,Ward 7,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,70,No,No,Female,6,3,5,5,3
pTL67eiJ,Northwest,Ward 7,"$120,000 and over (Net)",Own,Some post secondary or college diploma,59,No,No,Male,9,2,9,9,4
oDP41efU,Northwest,Ward 7,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,42,Yes,No,Male,9,2,6,8,4
rMG42mvX,Northwest,Ward 7,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,66,No,No,Female,8,1,7,10,4
yAM16xjQ,Northwest,Ward 7,Don't Know,Own,Some post secondary or college diploma,59,No,No,Female,8,2,10,10,3
bKQ31cqY,Northwest,Ward 7,"Less than $30,000",Own,Completed high school or less,71,No,No,Male,8,2,7,9,3
jAF97clB,Northwest,Ward 7,"$45,000 to just under $60,000",Own,Completed high school or less,64,No,No,Female,7,3,7,7,3
tVZ92trV,Northwest,Ward 7,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,74,No,No,Female,9,2,5,8,2
tEE88wbE,Northwest,Ward 7,Don't Know,Own,Completed high school or less,81,No,No,Female,8,3,10,10,4
jPV37ikF,Northwest,Ward 7,Don't Know,Own,Completed university degree or post-grad degree,68,No,No,Male,9,2,10,10,1
vCP26yrN,Northwest,Ward 7,"$120,000 and over (Net)",Own,Completed high school or less,81,No,Yes,Female,8,1,8,8,4
tGL93gmT,Northwest,Ward 2,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,47,No,No,Female,8,2,6,6,4
iMZ76vaZ,Northwest,Ward 4,"$30,000 to just under $45,000",Rent,Some post secondary or college diploma,36,Yes,No,Female,4,3,1,1,4
jRH18zwG,Southeast,Ward 13,Don't Know,Own,Completed university degree or post-grad degree,,No,No,Male,4,3,5,4,3
bNB71ftM,Northwest,Ward 7,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,66,No,No,Female,8,1,5,8,4
oOA96hlK,Northwest,Ward 7,"$90,000 to just under $105,000",Own,Completed high school or less,61,No,No,Female,6,2,5,6,3
iKC79olR,Northwest,Ward 7,"$120,000 and over (Net)",Rent,Completed university degree or post-grad degree,46,Yes,No,Female,8,3,7,8,3
rOT72yhP,Northwest,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,40,Yes,No,Female,7,3,10,8,3
qGR11saW,Northwest,Ward 7,"$120,000 and over (Net)",Own,Some post secondary or college diploma,69,No,No,Male,7,3,5,7,3
bUE50raU,Northwest,Ward 7,"$30,000 to just under $45,000",Own,Completed university degree or post-grad degree,63,No,No,Male,6,3,4,6,4
oPT41ifV,Northwest,Ward 7,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,73,No,No,Male,7,2,7,8,3
vIA29ifS,Northwest,Ward 7,Don't Know,Own,Completed university degree or post-grad degree,60,Yes,No,Male,6,3,2,2,4
gJY85lfH,Northwest,Ward 7,Don't Know,Own,Completed university degree or post-grad degree,57,Yes,No,Male,8,2,6,8,4
wXY74kjB,Northwest,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,47,No,No,Female,7,1,7,7,3
qHI46euT,Northwest,Ward 3,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,46,Yes,Yes,Male,8,2,8,8,3
oFS40owV,Northwest,Ward 7,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,78,No,No,Female,6,3,4,8,3
tCD67zpB,Northwest,Ward 1,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,62,No,No,Female,5,3,6,7,2
pQX57vgK,Northwest,Ward 7,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,48,No,No,Female,8,2,8,10,4
uNQ92vwD,Northwest,Ward 7,Don't Know,Own,Completed university degree or post-grad degree,63,No,No,Male,7,3,7,8,3
iJK40anM,Northwest,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,84,No,No,Male,8,2,7,7,4
eHQ13zxG,Northwest,Ward 1,Don't Know,Own,Completed university degree or post-grad degree,65,Yes,No,Female,9,1,5,10,2
fSR95dwN,Northwest,Ward 7,Don't Know,Own,Completed university degree or post-grad degree,66,No,No,Male,6,3,6,8,2
cQN84frF,Northwest,Ward 7,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,71,No,Yes,Female,5,2,7,7,3
pZP91utP,Northwest,Ward 7,"$120,000 and over (Net)",Own,Some post secondary or college diploma,19,No,Yes,Female,9,2,10,10,2
bRA21nlK,Southwest,Ward 9,"$45,000 to just under $60,000",Rent,Completed university degree or post-grad degree,44,No,No,Male,10,2,1,1,4
nOV55nzC,Southwest,Ward 7,"$30,000 to just under $45,000",Rent,Completed university degree or post-grad degree,62,No,No,Male,7,3,7,8,4
yQG75lqS,Southwest,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,78,No,No,Male,8,2,3,7,3
sDK79gtV,Southwest,Ward 7,"$120,000 and over (Net)",Own,Some post secondary or college diploma,68,No,No,Female,8,2,8,8,4
jAN86emS,Southeast,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,33,Yes,No,Female,9,1,6,9,2
zPN21ssL,Southwest,Ward 7,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,82,No,No,Male,7,1,7,7,4
zMG72bpN,Southeast,Ward 7,"Less than $30,000",Rent,Completed high school or less,88,No,No,Female,5,2,,8,3
yYU83rtS,Southeast,Ward 14,"$75,000 to just under $90,000",Own,Completed high school or less,77,No,No,Male,8,2,8,8,4
dNA46zpJ,Southwest,Ward 8,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,45,Yes,No,Female,7,2,8,8,3
gCA81trH,Southwest,Ward 7,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,59,No,No,Female,8,2,10,10,1
kSF57yoR,Southeast,Ward 14,"$30,000 to just under $45,000",Own,Completed university degree or post-grad degree,74,No,No,Male,7,3,7,8,4
dZB22hoW,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,68,No,No,Male,7,2,7,7,4
aND13yxW,Southeast,Ward 12,"$105,000 to just under $120,000",Own,Some post secondary or college diploma,68,No,No,Male,7,3,8,8,3
wTA68xrU,Southeast,Ward 12,"$60,000 to just under $75,000",Own,Completed university degree or post-grad degree,50,Yes,No,Male,8,2,5,5,3
zXT51deD,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,52,No,No,Female,8,3,10,10,4
nNN84fqJ,Southeast,Ward 12,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,45,Yes,Yes,Female,9,2,10,10,4
fZH63whH,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,50,Yes,No,Male,8,2,7,7,3
bPD96zzM,Southeast,Ward 7,"$90,000 to just under $105,000",Own,Completed high school or less,50,Yes,No,Male,6,3,5,6,3
dIO57llZ,Southeast,Ward 12,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,74,No,No,Male,9,2,6,8,3
pCK78asC,Southeast,Ward 12,Don't Know,Own,Completed university degree or post-grad degree,43,Yes,No,Female,7,3,8,7,3
pHM32hpK,Southeast,Ward 12,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,30,Yes,Yes,Female,8,2,9,9,4
nGJ36uzS,Southeast,Ward 12,"$30,000 to just under $45,000",Own,Completed high school or less,39,Yes,No,Male,8,1,9,8,4
gVR68zxN,Southwest,Ward 13,"$60,000 to just under $75,000",Own,Completed university degree or post-grad degree,20,Yes,No,Male,9,2,5,8,4
fDJ60tiM,Southeast,Ward 12,Don't Know,Own,Some post secondary or college diploma,70,No,No,Male,8,2,9,9,3
wVQ41dsE,Southeast,Ward 12,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,59,No,No,Female,9,3,6,7,3
hYP34edY,Southeast,Ward 12,Don't Know,Own,Some post secondary or college diploma,67,No,Yes,Female,5,3,4,3,3
sBU15aoY,Southeast,Ward 12,"$120,000 and over (Net)",Own,Some post secondary or college diploma,54,Yes,No,Male,8,2,6,8,3
kOV58nrE,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,36,Yes,No,Female,7,3,6,7,3
gEL11htC,Southeast,Ward 12,"Less than $30,000",Own,Some post secondary or college diploma,54,No,No,Female,9,3,6,8,4
lOZ13eoZ,Southwest,Ward 12,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,66,No,No,Male,7,3,7,7,4
gDX53pwW,Southeast,Ward 12,"$120,000 and over (Net)",Own,Some post secondary or college diploma,47,Yes,No,Female,5,2,6,6,3
sSZ57phQ,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,42,Yes,No,Male,9,2,10,10,4
oGJ85xqR,Southeast,Ward 12,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,64,No,No,Male,10,2,10,10,4
lWH14zqP,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,40,Yes,No,Male,7,2,7,8,3
nNA16xqK,Southeast,Ward 12,"$105,000 to just under $120,000",Own,Some post secondary or college diploma,31,Yes,No,Female,8,3,8,8,3
yMB12uqJ,Southeast,Ward 12,Don't Know,Own,Completed high school or less,32,Yes,No,Female,8,1,7,9,3
uQU55ilK,Southeast,Ward 12,"$120,000 and over (Net)",Own,Some post secondary or college diploma,54,Yes,No,Male,9,3,9,10,4
bXJ42syP,Southeast,Ward 12,"$120,000 and over (Net)",Own,Some post secondary or college diploma,51,No,No,Female,8,3,7,8,4
qVR11nzZ,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,68,Yes,No,Male,8,2,8,8,3
iKO85ezT,Southeast,Ward 12,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,39,Yes,No,Female,10,2,10,10,4
eHK16efL,Southeast,Ward 12,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,37,Yes,No,Female,5,3,5,5,3
hOP23hfV,Southeast,Ward 12,Don't Know,Own,Completed high school or less,66,No,No,Male,9,1,10,10,4
wFF44uxH,Southeast,Ward 12,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,64,No,No,Male,6,2,10,10,4
kFF91snH,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,53,No,No,Female,8,3,9,10,4
xWH70qlF,Southeast,Ward 12,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,69,No,No,Male,8,2,9,7,4
aQQ54whF,Southeast,Ward 12,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,47,Yes,Yes,Male,8,2,8,8,4
cLZ31qtS,Northeast,Ward 3,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,60,Yes,No,Male,8,3,9,10,4
eCA72wlW,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed high school or less,54,No,No,Male,7,3,7,10,2
aDG23okW,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,60,Yes,No,Male,10,3,10,10,4
qMS27uiE,Southeast,Ward 12,"$30,000 to just under $45,000",Own,Completed high school or less,71,No,No,Male,10,1,10,10,4
aOQ73jtL,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,67,No,No,Male,7,3,7,10,4
eBK98ukJ,Southeast,Ward 12,"$120,000 and over (Net)",Own,Some post secondary or college diploma,53,No,No,Male,8,1,7,10,2
fHV16jrW,Southeast,Ward 14,"$105,000 to just under $120,000",Rent,Some post secondary or college diploma,27,No,Yes,Female,8,3,10,10,3
cBR64yxQ,Southeast,Ward 14,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,62,No,No,Female,7,3,6,7,3
mOZ81iqY,Southeast,Ward 14,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,71,No,No,Male,8,3,8,8,4
wJS15ehT,Southeast,Ward 14,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,63,No,No,Male,8,2,8,8,4
rGW20bhZ,Southeast,Ward 12,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,43,Yes,No,Female,8,1,7,8,4
iNJ56wzL,Southeast,Ward 12,"$105,000 to just under $120,000",Own,Some post secondary or college diploma,66,No,No,Female,9,1,7,7,4
pVX82woY,Southeast,Ward 12,Don't Know,Other,Some post secondary or college diploma,31,No,No,Female,8,2,4,8,4
rDC19sjC,Southeast,Ward 12,"$120,000 and over (Net)",Own,Some post secondary or college diploma,42,Yes,No,Male,10,2,10,7,1
tIY72pzH,Southeast,Ward 14,"$120,000 and over (Net)",Neither,Some post secondary or college diploma,24,No,No,Male,8,1,10,9,3
bQX92gcB,Southeast,Ward 12,Don't Know,Own,Completed university degree or post-grad degree,41,No,No,Male,8,2,9,9,3
hHI97raW,Southeast,Ward 14,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,32,Yes,No,Male,8,3,8,8,4
lPN88cpQ,Southeast,Ward 14,"$120,000 and over (Net)",Own,Completed high school or less,48,No,No,Male,7,3,10,10,4
oCI18efQ,Southeast,Ward 14,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,50,No,No,Female,9,1,8,9,3
uER12xjQ,Southeast,Ward 14,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,,No,No,Female,8,3,,7,3
dNB10ajY,Southeast,Ward 14,"$45,000 to just under $60,000",Rent,Completed university degree or post-grad degree,27,No,No,Female,8,2,7,8,3
rGE43wcO,Southeast,Ward 14,Don't Know,Own,Completed university degree or post-grad degree,,No,No,Male,8,2,8,8,4
tNW15fmU,Southeast,Ward 14,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,28,Yes,No,Female,7,3,2,7,4
aVZ34hxA,Southeast,Ward 14,Don't Know,Own,Some post secondary or college diploma,54,Yes,Yes,Female,8,1,8,8,3
wYU12jqT,Southeast,Ward 14,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,76,No,No,Male,8,2,6,7,4
kAC98ycJ,Southeast,Ward 14,Don't Know,Own,Completed high school or less,,No,No,Male,1,3,1,1,1
tFN99woL,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,41,Yes,No,Female,8,2,10,10,4
lKK48xmA,Southeast,Ward 12,"$45,000 to just under $60,000",Own,Completed high school or less,68,Yes,Yes,Female,7,3,8,10,3
xXO59gaY,Southeast,Ward 12,"$105,000 to just under $120,000",Own,Completed high school or less,18,Yes,No,Male,7,2,9,9,3
cWR14ruA,Southeast,Ward 12,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,67,No,No,Female,7,2,7,9,2
yKE96uaY,Southeast,Ward 12,Don't Know,Own,Completed university degree or post-grad degree,46,Yes,No,Female,7,1,8,8,4
xEV72txT,Southeast,Ward 12,"$120,000 and over (Net)",Own,Some post secondary or college diploma,37,Yes,Yes,Male,9,2,10,10,4
eSM33anM,Southeast,Ward 12,Don't Know,Own,Some post secondary or college diploma,68,Yes,No,Female,8,2,8,8,4
vNK28crT,Southeast,Ward 14,Don't Know,Own,Completed university degree or post-grad degree,62,No,No,Male,8,3,9,8,4
bMC32ecR,Southeast,Ward 14,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,59,No,No,Male,9,3,8,10,3
hTC12lqG,Southeast,Ward 14,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,52,No,Yes,Male,8,2,10,8,4
iRQ66mmD,Southeast,Ward 12,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,62,No,No,Female,8,2,7,10,3
cDU48bcI,Southeast,Ward 12,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,35,Yes,No,Male,7,3,6,6,3
qSS67daD,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,71,No,Yes,Male,9,1,8,9,3
